CHURCHES_,CHURCHES_ID,PIN,OWNER_NAME,PROP_ADDR,BILL_ADDR,CITY_STATE,ZIP,EXEMPTCODE,ZONING,DENOMINATION,DENOM
133,21961,0474339000,THANKFUL BAPTIST CHURCH,312 WALKER ST,302 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
134,22011,0474338000,THANKFUL BAPTIST CHURCH,308 WALKER ST,302 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
135,22036,0474337000,THANKFUL BAPTIST CHURCH,304 WALKER ST,302 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
136,22107,0463283000,FRIENDSHIP BAPTIST CHURCH,1356 LANEY WALKER BLVD,1356 LANEY WALKER BLVD,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
137,22169,0453243000,MACEDONIA BAPTIST CHURCH OF AUGUSTA GEORGIA INC,1829 WRIGHTSBORO RD,1828 WRIGHTSBORO RD,"AUGUSTA, GA",30904,,01,BAPTIST,BAPTIST
138,22174,0464383000,CENTRAL BAPTIST CHURCH,1139 HOPKINS ST,1139 HOPKINS ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
139,22207,0453244000,MACEDONIA BAPTIST CHURCH OF AUGUSTA GA INC,1827 WRIGHTSBORO RD,1828 WRIGHTSBORO RDyP O BOX 1513,"AUGUSTA, GA",30904,,01,BAPTIST,BAPTIST
140,22263,0474333000,THANKFUL BAPTIST CHURCH,307 WATKINS ST,302 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
141,22370,0483050000,ST PAULS BAPTIST CHURCH,11 TELFAIR ST,11 TELFAIR ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
142,22375,0474336000,THANKFUL BAPTIST CHURCH,609 THIRD ST,302 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
143,22479,0474335000,THANKFUL BAPTIST CHURCH,301 WATKINS ST,302 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
144,22562,0474353000,THANKFUL BAPTIST CHURCH,616 THIRD ST,302 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
145,22648,0474354000,THANKFUL BAPTIST CHURCH,620 THIRD ST,302 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
146,22677,0463320000,PRESBYTERIAN CHURCH,1316 LANEY WALKER BLVD,1316 LANEY WALKER BLVD,"AUGUSTA, GA",30901,E2,01,PRESBYTERIAN,PRESBYTERIAN
147,22885,0453348000,MACEDONIA BAPTIST CHURCH OF AUGUSTA GEORGIA INC,1832 WRIGHTSBORO RD,1828 WRIGHTSBORO RD,"AUGUSTA, GA",30904,,01,BAPTIST,BAPTIST
148,22897,0453347000,MACEDONIA BAPTIST CHURCH BY TR,1828 WRIGHTSBORO RD,725 LANEY WALKER BLVD,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
149,22936,0453346000,MACEDONIA BAPTIST CHURCH BY TRS,1822 WRIGHTSBORO RD,1828 WRIGHTSBORO RD,"AUGUSTA, GA",30904,,01,BAPTIST,BAPTIST
150,22952,0464418000,NEW HOPE BAPTIST CHURCH,1045 TENTH ST,1045 TENTH ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
151,22964,0453345000,MACEDONIA BAPTIST CHURCH BY TRS,1820 WRIGHTSBORO RD,1828 WRIGHTSBORO RD,"AUGUSTA, GA",30904,E2,01,BAPTIST,BAPTIST
152,22990,0423005030,GRACE BAPTIST FELLOWSHIP,1725 SIBLEY RD,PO BOX 5596,AUGUSTA GA,30916,E2,01,BAPTIST,BAPTIST
153,23005,0474288000,MOSES MISSIONARY BAPTIST CHURCH BY TRS,516 FIRST ST,112 WALKER ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
154,23014,0463197000,ANTIOCH BAPTIST CHURCH OF AUG I,1238 HOLLEY ST,1454 FLORENCE ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
155,23099,0463319000,TABERNACLE BAPTIST CHURCH,1250 LANEY WALKER BLVD,1223 LANEY WALKER BLVD,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
156,23121,0463238000,ANTIOCH BAPTIST CHURCH OF AUGUS,1277 AUGUSTA AVE,1454 FLORENCE ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
157,23159,0454172000,GETHSEMANE BAPTIST CHURCH,BROWN ST,1485 WRIGHTSBORO RD,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
158,23160,0454173000,GETHSEMANE BAPTIST CHURCH,BROWN ST,1485 WRIGHTSBORO RD,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
159,23167,0474289000,MOSES MISSIONARY BAPTIST CHURCH BY TRS,33 WALKER ST,112 WALKER ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
160,23177,0453344000,MACEDONIA BAPTIST CHURCH OF AUGUSTA GEORGIA INC,1417 JORDAN RD,1828 WRIGHTSBORO RD,"AUGUSTA, GA",30904,,01,BAPTIST,BAPTIST
